Dokumentname,Code,Anfang,Ende,Segment
reflection_assignment_P1,Level 1,1,1,"I am a newbie in data science (DS). On the one hand, I have been working with experimental electroencephalography,  electrocardiography, respiratory, functional magnetic resonance, and behavioural data of human participants prior to  starting the Master program in DS.  "
reflection_assignment_P1,Level 1,1,1,"However, the handling of data in basic cognitive neuroscience research is usually  clearly defined and hardly any real world impact to the participants is at stake. The course Machine Learning (ML) for  DS introduced me to a more typical DS workflow and data sets. The knowledge accumulated in this course provided  me with the general understanding of DS practice.  "
reflection_assignment_P1,Level 1,1,1,"The HCDS course was largely aimed at a critical reflection of DS practice, as well as actionable suggestions for im-provement by means of human-centred design. The discussed topics were closely related to the ethical principles for  responsible AI, including promotion of human values, accountability, fairness and non-discrimination, transparency  and explainability as well as privacy [2]."
reflection_assignment_P1,Level 2 (a),1,1,"Among these topics, some messages particularly resonated with me and gave rise to some discussions in my close  environment, such as human reliance on ML decisions"
reflection_assignment_P1,Level 2 (a),1,1,"First of all, I became aware of the importance to transparently  document the values of the participants and stakeholders in a DS project as a prerequisite for reflexive and reproducible  practice."
reflection_assignment_P1,Level 4,1,1,"A closely related idea that was conveyed in the course and seemed essential to me was that data as such are  artificial. Even if it might seem so on the surface, they are not given by nature, but rather produced in a social and  ideological context. For example, studies about the health effects of being overweight are based on body mass index  which in itself is a social construct that creates the context for the data and enables weight bias. Therefore, not only  values, but also social meaning and expertise should be considered in every step of a DS practice."
reflection_assignment_P1,Level 2 (b),1,2,"Mixed-methods  research lends itself to this approach, as qualitative methods allow for contextualisation of quantitative data. Social  context, and thus a qualitative understanding, is equally important when considering fairness, a concept I was already  very aware of before the course. Although I would have previously thought that it is sufficient to compute some fairness metrics in order to evaluate the fairness of a ML model, I realised how uninformative the math behind the metrics is  when taken without context"
reflection_assignment_P1,Level 2 (b),2,2,"Another realisation that stuck with me was how poorly labeled and documented ML data  sets can be. As shown in the exercise, the South German credit data set contains an incorrect code table even though it is  so widely used [5]. Though it was not surprising to learn that human-labeled training data is not consistently following  the best practices of structured content analysis, I had to think about the consequences of potentially mislabeled data  sets for the models that are built upon them and their validity [4]"
reflection_assignment_P1,Level 2 (a),2,2,"Finally, I became even more aware of the need  for explanations and explanatory user interfaces for black box models. In this way, interpretability and transparency  as well as fairness checks can be achieved."
reflection_assignment_P1,Level 2 (b),2,2,"In general, due to my background in psychology, I found the research in  the area of human explainability needs very interesting, and read a couple of papers presented in the lecture. I was  intrigued by the problem of over- and under-reliance in ML systems and would like to learn more about its causes and  effects. I also found it curious that human and machine interaction does not necessarily improve the overall accuracy  of the decisions which I generally assumed to be the case [6]."
reflection_assignment_P1,Level 3,2,2,"The course therefore has caused a lot of reflection in me which I highly appreciate. I very honestly do not have  criticism for the lecture other that I wished we had more time to dive deeper into the topics. That being said, I enjoyed  the tempo and depth given the time limitation."
reflection_assignment_P1,Level 3,2,2,"In terms of the exercise, I probably would have enjoyed working on  a coherent project throughout the course rather than on disconnected assignments. I also found it beneficial to have  access to the code of other student groups, as it enabled comparing the approaches and learning from our peers."
reflection_assignment_P1,Level 1,2,2,"The topics of the HCDS course were conveniently linked to the stages of the basic reproducible workflow [1]. We were  introduced to reflection points and improved practices for each stage of a DS project as well as the potential biases  that can arise. Additionally, we attempted improving the usual DS pipeline in our homework assignments."
reflection_assignment_P1,Level 3,2,2,"As a means of integrating the new insights into my current DS practice, I would first and foremost ensure that my  projects are reproducible, among else by documenting every decision, from the values with which I approach them to  the reasons for choosing a particular ML algorithm. If possible in the given context, I would aim to make my work open-access, as long as the privacy of project participants can be adequately assured"
reflection_assignment_P1,Level 3,2,2,"Along the way, I would incorporate  qualitative research methods, such as ethnographic methods, especially to understand and capture the social context of  the data set. Not only could the data contain inconsistencies and pre-existing biases that reflect the social environment,  but understanding the data could also help create better and more accurate models. Were I to collect data myself and  employ human data labelling, I would attempt to follow the best practices of structured content analysis and create  thorough reflexive documentation of the data set created, e. g. in the form of data sheet [3]."
reflection_assignment_P1,Level 3,2,2,"The course also made  me aware of the emergent bias that arises when using ML models. Therefore, I believe it is important to analyse the  potential outcomes of a ML system in a given social setting and develop a vision for a fair system that could serve  as a target for a project."
reflection_assignment_P1,Level 3,2,2,"A large part of the course was devoted to designing explanatory interfaces for post-hoc  interpretability of nonlinear and/or complex ML models. This area was very new to me, but after the course I feel  equipped to argue that there should exist such interfaces aimed at the user mental model to begin with, and I have an  understanding how to approach the interaction design and its evaluation."
reflection_assignment_P1,Level 3,2,2,The course contents expanded my previous  knowledge of quantitative summative evaluation methods with a more contextualised iterative process of evaluation.
reflection_assignment_P1,Level 3,3,3,"As a result of the HCDS course, my future DS practice will be more mindful and reflexive. Since I don’t have that much  experience with DS yet and therefore no fixed habits, I feel the timing of the course was very optimal. I can integrate the  learned contents into my future practice very naturally and with great enthusiasm."
reflection_assignment_P1,Level 3,3,3,"Since I largely share the underlying  values of the course, I felt very little resistance throughout it, instead a lot of curiosity and engagement. There were  also several overlaps with aspects of psychology, my other field of study, which provided me with interesting points of  reflection or additional context. I believe the course conveyed the core of the HCDS approach and raised the standards  for DS practice that I had envisioned prior to it."
